Date,Division,Home Team,H,A,Away Team,Referee,Location,Tournament,Played,Reason
17-Jan,11.6 Boys Sat,Belmont FC,2,2,Rathcoole FC,,Herbert Park,League,Y,
17-Jan,11.7 Boys Sat,Belmont FC,6,2,Dalkey United FC,,Herbert Park,League,Y,
17-Jan,11.9 Boys Sat,Hartstown / Huntstown FC,1,3,Belmont FC,,Hartstown Park,League,Y,
17-Jan,12.6 Boys Sat,Montpelier FC,2,1,Belmont FC,,Grangegorman,League,Y,
17-Jan,12.8 Boys Sat,Templeogue United FC,2,4,Belmont FC,Phil Meehan,Templeogue United,League,Y,
17-Jan,13.2 Boys Sat,Belmont FC,,,St Mochtas FC,Amine Malek,Herbert Park,League,N,Weather
17-Jan,13.7 Boys Sat,Belmont FC,,,Wayside Celtic FC,Amine Malek,Herbert Park,League,N,Opposition
24-Jan,10.10 Boys Sat,Belmont FC,5,4,Mount Merrion Youths FC,,Herbert Park,League,Y,
24-Jan,10.4 Boys Sat,Belmont FC,3,4,St Joseph's AFC,,Herbert Park,League,Y,
24-Jan,10.6 Boys Sat,Belmont FC,2,6,Rathcoole FC,,Herbert Park,League,Y,
24-Jan,11.6 Boys Sat,Dunboyne FC,,,Belmont FC,,Dunboyne,League,N,Weather
24-Jan,11.6.7 Boys Saturday Subsidary Cup,Firhouse Carmel FC,,,Belmont FC,Arturs Giriks,Firhouse CC,Cup,Y,
24-Jan,11.8/9 Boys Saturday Michael Griffin Cup (D8&D9),Finglas Celtic FC,4,5,Belmont FC,Ciaran Hempenstall,Kilshane road,Cup,Y,
24-Jan,12.3/4 Boys Saturday Paddy Farry Cup (D3&D4),Belmont FC,,,Sporting Greystones FC,Flann Brien,Herbert Park,Cup,N,Opposition
24-Jan,12.5/6 Boys Saturday Maurice Price Cup (D5&D6),Belmont FC,,,Transport Iveagh Trust FC,Flann Brien,Herbert Park,Cup,N,Weather
24-Jan,12.7/8 Boys Saturday Lee McEvoy Cup (D7&D8),Celbridge Town AFC,3,1,Belmont FC,Conor Coyle,St Pats Park,Cup,Y,
24-Jan,13.2 Boys Sat,Rathcoole FC,0,1,Belmont FC,Kyle Cranston,Frank Cox Park,League,Y,
24-Jan,13.7 Boys Sat,Belmont FC,,,Castleknock Celtic FC,Eoin Cooke,Herbert Park,League,N,Opposition
24-Jan,13.8 Boys Sat,Belmont FC,,,Dalkey United FC,Eoin Cooke,Herbert Park,League,N,Weather
24-Jan,8.6 Boys Sat,Belmont FC,,,Greystones United,,Herbert Park,League,Y,
24-Jan,8.8 Boys Sat,Manortown United FC,,,Belmont FC,,5 Acres Perrystown,League,N,Opposition
24-Jan,9.5 Boys Sat,Belmont FC,,,Beechwood FC,,Herbert Park,League,Y,
24-Jan,9.9 Boys Sat,Belmont FC,,,Sporting Greystones FC,,Herbert Park,League,Y,
31-Jan,10.10 Boys Sat,Leicester Celtic FC,1,12,Belmont FC,,Loreto Park,League,Y,
31-Jan,10.4 Boys Sat,Sporting Greystones FC,0,4,Belmont FC,,Dr Ryan Park,League,Y,
31-Jan,10.6 Boys Sat,Newbridge Town FC,1,6,Belmont FC,,Station Road,League,Y,
31-Jan,11.6 Boys Sat,Newbridge Town FC,4,1,Belmont FC,,Station Road,League,Y,
31-Jan,11.7 Boys Sat,Mount Merrion Youths FC,1,8,Belmont FC,,Deerpark,League,Y,
31-Jan,11.9 Boys Sat,Belmont FC,4,2,Greystones United AFC,,Herbert Park,League,Y,
31-Jan,12.3 Boys Sat,Belmont FC,0,3,Templeogue United FC,Eoin Cooke,Herbert Park,League,Y,
31-Jan,12.6 Boys Sat,Beechwood FC,1,1,Belmont FC,Alex Gallagher,"Royal Hospital, Donnybrook",League,Y,
31-Jan,12.8 Boys Sat,Belmont FC,,,Sheriff YC,Eoin Cooke,Herbert Park,League,N,Weather
31-Jan,13.2 Boys Sat,Corduff FC,,,Belmont FC,Dominic Quigley,Corduff Park,League,N,Opposition
31-Jan,13.7 Boys Sat,Mountview Boys & Girls FC,,,Belmont FC,Andriy Zakhara,Mountview Park,League,N,Weather
31-Jan,13.8 Boys Sat,Belmont FC,,,Hartstown / Huntstown FC,Eoin Cooke,Herbert Park,League,N,Opposition
31-Jan,8.6 Boys Sat,Terenure Rangers FC,,,Belmont FC,,Bushy Park,League,Y,
31-Jan,8.8 Boys Sat,Belmont FC,,,Beechwood FC,,Herbert Park,League,Y,
31-Jan,9.5 Boys Sat,St Francis FC,,,Belmont FC,,John Hyland Park,League,Y,
31-Jan,9.9 Boys Sat,Granada FC,,,Belmont FC,,Meadow Vale,League,N,Weather
7-Feb,10.4 Boys Sat,Belmont FC,5,4,Greenhills Boys FC,,Herbert Park,League,Y,
7-Feb,10.6 Boys Sat,Belmont FC,5,4,Templeogue United FC,,Herbert Park,League,Y,
7-Feb,10.9 Boys Sat,Belmont FC,,,Lucan United FC,,Herbert Park,League,N,Opposition
7-Feb,11.6 Boys Sat,Belmont FC,1,1,Tallaght Town AFC,,Herbert Park,League,Y,
